name,HH_size,head_age,status,salaried,land,WEALTH_TOTAL_VAL_USD
BDSU001,4,65,0,0,0,3103
BDSU002,8,67,0,0,1,4224
BDSU003,4,30,0,1,1,2112
BDSU004,5,24,0,0,0,2837
BDSU005,7,79,1,0,1,7023
BDSU006,5,61,0,0,0,2132
BDSU007,2,85,0,0,0,1845
BDSU008,4,83,1,0,1,8023
BDSU009,5,57,0,1,1,3844
BDSU010,4,53,0,0,0,4406
BDSU011,8,43,1,1,0,5093
BDSU012,4,65,0,0,1,2884
BDSU013,8,60,0,0,0,6084
BDSU014,3,42,0,0,1,1596
BDSU015,3,52,0,0,0,2236
BDSU016,4,45,0,1,1,4293
BDSU017,3,34,0,0,0,1652
BDSU018,5,30,0,0,0,1120
BDSU019,5,27,0,0,0,960
BDSU020,4,68,0,0,0,1959
BDSU021,3,30,0,0,1,5765
BDSU022,7,64,0,0,1,4244
BDSU023,3,30,0,0,0,1865
BDSU024,4,59,0,0,1,2959
BDSU025,4,35,0,0,0,2118
BDSU026,4,55,0,0,1,1071
BDSU027,5,65,0,0,1,3281
BDSU028,6,60,1,0,0,5989
BDSU029,3,55,0,0,1,2049
BDSU030,3,55,1,0,0,1998
BDSU031,5,49,0,0,1,2988
BDSU032,3,56,0,0,1,1486
BDSU033,3,40,0,0,0,3402
BDSU034,5,70,0,1,1,3503
BDSU035,8,71,0,0,1,4715
BDSU036,5,68,0,0,0,1055
BDSU037,2,45,0,0,0,2552
BDSU038,4,55,0,0,1,1660
BDSU039,3,60,0,0,1,3533
BDSU040,2,50,0,1,0,1086
BDSU041,3,45,0,0,0,407
BDSU042,6,76,0,0,0,3757
BDSU043,5,35,0,0,0,2058
BDSU044,4,40,0,0,0,3647
BDSU045,4,35,0,0,0,3207
BDSU046,5,67,0,0,1,1429
BDSU047,5,46,0,0,0,4390
BDSU048,6,60,0,0,0,2012
BDSU049,4,32,0,0,1,5429
BDSU050,7,45,0,0,0,1630
BDSU051,5,30,0,1,0,1560
BDSU052,2,56,0,0,0,1600
BDSU053,4,28,0,0,0,1176
BDSU054,1,50,0,0,1,1779
BDSU055,5,60,0,1,0,3075
BDSU056,2,63,0,0,0,2368
BDSU057,5,45,0,1,1,1717
BDSU058,4,60,0,0,0,1686
BDSU059,2,50,0,0,0,1192
BDSU060,6,50,0,0,0,3627
BDSU061,4,60,0,1,0,3222
BDSU062,4,48,1,1,0,2545
BDSU063,1,65,0,0,0,1164
BDSU064,6,37,0,0,1,1832
BDSU065,3,44,1,1,0,2198
BDSU066,4,26,0,1,0,1848
BDSU067,3,35,0,0,0,1359
BDSU068,3,56,0,0,0,449
BDSU069,5,60,0,1,0,1475
BDSU070,4,32,0,1,0,718
BDSU071,1,80,0,0,0,1068
BDSU072,5,28,0,0,0,2117
BDSU073,6,69,0,0,0,3085
BDSU074,1,55,1,0,1,1608
BDSU075,7,59,1,0,1,3678
BDSU076,1,50,0,0,1,1436
BDSU077,2,25,0,1,0,1715
BDSU078,5,53,0,0,1,3031
BDSU079,4,48,0,0,0,2930
